timebounds,ssp126,ssp245,ssp370,ssp585
1961.0,-0.10042163123430319,-0.10042163123430319,-0.10042163123430319,-0.10042163123430319
1962.0,-0.10211885368464535,-0.10211885368464535,-0.10211885368464535,-0.10211885368464535
1963.0,-0.10380451103276818,-0.10380451103276818,-0.10380451103276818,-0.10380451103276818
1964.0,-0.10549735630842216,-0.10549735630842216,-0.10549735630842216,-0.10549735630842216
1965.0,-0.10718027399882364,-0.10718027399882364,-0.10718027399882364,-0.10718027399882364
1966.0,-0.10889772816871594,-0.10889772816871594,-0.10889772816871594,-0.10889772816871594
1967.0,-0.1106177926719742,-0.1106177926719742,-0.1106177926719742,-0.1106177926719742
1968.0,-0.11238674022879945,-0.11238674022879945,-0.11238674022879945,-0.11238674022879945
1969.0,-0.11410151496663508,-0.11410151496663508,-0.11410151496663508,-0.11410151496663508
1970.0,-0.11581264932368733,-0.11581264932368733,-0.11581264932368733,-0.11581264932368733
1971.0,-0.11751072624644297,-0.11751072624644297,-0.11751072624644297,-0.11751072624644297
1972.0,-0.1190687221551556,-0.1190687221551556,-0.1190687221551556,-0.1190687221551556
1973.0,-0.1205395744108432,-0.1205395744108432,-0.1205395744108432,-0.1205395744108432
1974.0,-0.12200094772366049,-0.12200094772366049,-0.12200094772366049,-0.12200094772366049
1975.0,-0.12343146531003908,-0.12343146531003908,-0.12343146531003908,-0.12343146531003908
1976.0,-0.12487601148342098,-0.12487601148342098,-0.12487601148342098,-0.12487601148342098
1977.0,-0.12633940185689654,-0.12633940185689654,-0.12633940185689654,-0.12633940185689654
1978.0,-0.12783814380822311,-0.12783814380822311,-0.12783814380822311,-0.12783814380822311
1979.0,-0.12927836360499126,-0.12927836360499126,-0.12927836360499126,-0.12927836360499126
1980.0,-0.1306665033968884,-0.1306665033968884,-0.1306665033968884,-0.1306665033968884
1981.0,-0.1320455739578954,-0.1320455739578954,-0.1320455739578954,-0.1320455739578954
1982.0,-0.13343426343375944,-0.13343426343375944,-0.13343426343375944,-0.13343426343375944
1983.0,-0.1348288631213962,-0.1348288631213962,-0.1348288631213962,-0.1348288631213962
1984.0,-0.13641730826103932,-0.13641730826103932,-0.13641730826103932,-0.13641730826103932
1985.0,-0.13803701262798304,-0.13803701262798304,-0.13803701262798304,-0.13803701262798304
1986.0,-0.1396994135528709,-0.1396994135528709,-0.1396994135528709,-0.1396994135528709
1987.0,-0.14139547807330696,-0.14139547807330696,-0.14139547807330696,-0.14139547807330696
1988.0,-0.14307555395527413,-0.14307555395527413,-0.14307555395527413,-0.14307555395527413
1989.0,-0.14475497079322766,-0.14475497079322766,-0.14475497079322766,-0.14475497079322766
1990.0,-0.1464532703180256,-0.1464532703180256,-0.1464532703180256,-0.1464532703180256
1991.0,-0.14805509753380777,-0.14805509753380777,-0.14805509753380777,-0.14805509753380777
1992.0,-0.1498694859646372,-0.1498694859646372,-0.1498694859646372,-0.1498694859646372
1993.0,-0.15173508173822067,-0.15173508173822067,-0.15173508173822067,-0.15173508173822067
1994.0,-0.1534495620025026,-0.1534495620025026,-0.1534495620025026,-0.1534495620025026
1995.0,-0.15511636672115692,-0.15511636672115692,-0.15511636672115692,-0.15511636672115692
1996.0,-0.15676362249961956,-0.15676362249961956,-0.15676362249961956,-0.15676362249961956
1997.0,-0.15839326875957038,-0.15839326875957038,-0.15839326875957038,-0.15839326875957038
1998.0,-0.16081337761284334,-0.16081337761284334,-0.16081337761284334,-0.16081337761284334
1999.0,-0.16252178115351096,-0.16252178115351096,-0.16252178115351096,-0.16252178115351096
2000.0,-0.16396657729271386,-0.16396657729271386,-0.16396657729271386,-0.16396657729271386
2001.0,-0.16529820840981102,-0.16529820840981102,-0.16529820840981102,-0.16529820840981102
2002.0,-0.16636432431391904,-0.16636432431391904,-0.16636432431391904,-0.16636432431391904
2003.0,-0.16755109618150524,-0.16755109618150524,-0.16755109618150524,-0.16755109618150524
2004.0,-0.16854986204647465,-0.16854986204647465,-0.16854986204647465,-0.16854986204647465
2005.0,-0.16970067630852725,-0.16970067630852725,-0.16970067630852725,-0.16970067630852725
2006.0,-0.17083757278548994,-0.17083757278548994,-0.17083757278548994,-0.17083757278548994
2007.0,-0.17204871996490242,-0.17204871996490242,-0.17204871996490242,-0.17204871996490242
2008.0,-0.17311972401908918,-0.17311972401908918,-0.17311972401908918,-0.17311972401908918
2009.0,-0.17386054768793333,-0.17386054768793333,-0.17386054768793333,-0.17386054768793333
2010.0,-0.17469728089411282,-0.17469728089411282,-0.17469728089411282,-0.17469728089411282
2011.0,-0.17567838699706012,-0.17567838699706012,-0.17567838699706012,-0.17567838699706012
2012.0,-0.17669113342377907,-0.17669113342377907,-0.17669113342377907,-0.17669113342377907
2013.0,-0.17776710016146383,-0.17776710016146383,-0.17776710016146383,-0.17776710016146383
2014.0,-0.17878539222949555,-0.17878539222949555,-0.17878539222949555,-0.17878539222949555
2015.0,-0.18,-0.18,-0.18,-0.18
2016.0,-0.1810639887588686,-0.1810639887588686,-0.1810639887588686,-0.1810639887588686
2017.0,-0.1821074620334343,-0.18211236669872932,-0.18214961470623436,-0.18215412750228763
2018.0,-0.18313041982369715,-0.18314513381958225,-0.1832568778420974,-0.18327041623025714
2019.0,-0.18413286212965713,-0.18416229012142732,-0.18438577816645763,-0.1844128549427771
2020.0,-0.1851147889513142,-0.18516383560426455,-0.18553631567931508,-0.18558144363984752
2021.0,-0.1860762002886684,-0.186149770268094,-0.18670849038066972,-0.1867761823214684
2022.0,-0.1869471591878375,-0.1871242703818086,-0.1878698645655478,-0.18798898527148583
2023.0,-0.18772766564882154,-0.1880873359454084,-0.18902043823394932,-0.18921985248989978
2024.0,-0.1884177196716205,-0.18903896695889338,-0.19016021138587424,-0.19046878397671027
2025.0,-0.18901732125623438,-0.1899791634222636,-0.1912891840213226,-0.1917357797319173
2026.0,-0.18952647040266316,-0.19090792533551898,-0.1924073561402944,-0.19302083975552087
2027.0,-0.18994516711090684,-0.19182525269865955,-0.1935147277427896,-0.19432396404752098
2028.0,-0.19027341138096546,-0.19273114551168533,-0.1946112988288083,-0.1956451526079176
2029.0,-0.19051120321283901,-0.19362560377459628,-0.19569706939835035,-0.19698440543671078
2030.0,-0.19065854260652748,-0.19450862748739242,-0.1967720394514159,-0.19834172253390048
2031.0,-0.19071542956203083,-0.19538021665007377,-0.19783620898800483,-0.19971710389948677
